policy_id,org_id,policy_title,department,owner_role,version,effective_from,last_updated_at,next_review_date,status,policy_text,tags
POL-000001,ORG-0001,AML Transaction Monitoring Policy,IT,Operations Lead,1.0,2025-03-21,2025-04-22T08:55:00,2026-03-19,Pending Review,"AML Transaction Monitoring Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Capital Adequacy"
POL-000002,ORG-0001,Regulatory Reporting Policy,Operations,ML Reviewer,4.0,2025-09-23,2025-10-27T14:23:00,2026-08-04,Expired,"Regulatory Reporting Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Operations team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Operational Resilience"
POL-000003,ORG-0001,Data Retention and Privacy Policy,Data Governance,Auditor,4.0,2025-06-22,2025-07-02T17:19:00,2026-06-11,Approved,"Data Retention and Privacy Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Data Governance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Capital Adequacy,Trading Risk"
POL-000004,ORG-0001,Cyber Incident Response Policy,Compliance,Legal Reviewer,5.0,2025-09-13,2025-09-27T18:17:00,2026-11-21,Approved,"Cyber Incident Response Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Trading Risk"
POL-000005,ORG-0001,Model Risk Governance Policy,Compliance,Compliance Officer,3.0,2025-08-08,2025-12-06T19:59:00,2026-09-02,Expired,"Model Risk Governance Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Compliance team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Customer Protection"
POL-000006,ORG-0001,Third Party Risk Management Policy,Legal,ML Reviewer,4.0,2025-04-29,2025-08-20T09:02:00,2026-04-28,Approved,"Third Party Risk Management Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","Liquidity Risk,Data Privacy"
POL-000007,ORG-0001,Access Control and Review Policy,Legal,Security Officer,2.0,2024-03-25,2024-07-19T09:03:00,2025-04-12,Approved,"Access Control and Review Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Legal team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Capital Adequacy"
POL-000008,ORG-0001,Capital Adequacy Monitoring Policy,IT,Auditor,1.0,2024-10-11,2025-01-12T17:47:00,2025-07-12,Approved,"Capital Adequacy Monitoring Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the IT team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Capital Adequacy"
POL-000009,ORG-0001,Liquidity Risk Monitoring Policy,Audit,Operations Lead,2.0,2026-01-09,2026-03-26T08:42:00,2027-01-17,Approved,"Liquidity Risk Monitoring Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Audit team. Controls must be reviewed, documented, and approved according to internal governance standards.","Incident Management,Liquidity Risk"
POL-000010,ORG-0001,Business Continuity and Resilience Policy,Risk,ML Reviewer,1.0,2024-07-16,2024-08-13T19:17:00,2025-05-03,Approved,"Business Continuity and Resilience Policy for Aarohan Capital 1 defines ownership, review cadence, exception handling, evidence retention, and escalation steps. The policy applies to NBFC operations and is maintained by the Risk team. Controls must be reviewed, documented, and approved according to internal governance standards.","KYC/AML,Trading Risk"
