qa_id,user_question,expected_answer,intent,linked_circular_id,linked_obligation_id,linked_org_id,difficulty,split
QA-000001,Is our policy covering obligation OBL-000457?,"Intent: check_policy_gap. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",check_policy_gap,CIR-00019,OBL-000457,ORG-0001,easy,validation
QA-000002,List recent LLM review events,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00102,OBL-000167,ORG-0003,easy,train
QA-000003,Export risk report for this month,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00185,OBL-000420,ORG-0005,easy,train
QA-000004,Show obligations due in 30 days,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00199,OBL-000617,ORG-0022,medium,test
QA-000005,What obligations are in circular CIR-00097?,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00097,OBL-000523,ORG-0017,easy,train
QA-000006,Assign this finding to Finance,"Intent: assign_owner. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",assign_owner,CIR-00206,OBL-000325,ORG-0017,medium,train
QA-000007,How do I fix Outsourcing gaps?,"Intent: create_remediation_plan. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",create_remediation_plan,CIR-00115,OBL-000368,ORG-0022,easy,validation
QA-000008,Who approved this mapping?,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00176,OBL-000049,ORG-0021,medium,validation
QA-000009,Extract action items from CIR-00120,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00120,OBL-000631,ORG-0023,easy,train
QA-000010,Do we have proof for obligation OBL-000378?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00017,OBL-000378,ORG-0006,easy,train
QA-000011,Export risk report for this month,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00142,OBL-000144,ORG-0011,medium,validation
QA-000012,Show obligations due in 30 days,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00172,OBL-000456,ORG-0020,easy,train
QA-000013,What factors increased our compliance risk?,"Intent: explain_risk_score. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",explain_risk_score,CIR-00070,OBL-000634,ORG-0006,easy,train
QA-000014,Show circulars related to Customer Protection for FinTech,"Intent: search_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",search_circular,CIR-00189,OBL-000546,ORG-0020,medium,train
QA-000015,Extract action items from CIR-00157,"Intent: extract_obligations. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",extract_obligations,CIR-00157,OBL-000405,ORG-0012,easy,train
QA-000016,Export risk report for this month,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00126,OBL-000480,ORG-0014,hard,validation
QA-000017,Show audit trail for MAP-0000790,"Intent: show_audit_trail. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_audit_trail,CIR-00077,OBL-000573,ORG-0004,medium,train
QA-000018,Show obligations due in 30 days,"Intent: deadline_query. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",deadline_query,CIR-00178,OBL-000398,ORG-0020,medium,train
QA-000019,Prepare board summary for open findings,"Intent: generate_report. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",generate_report,CIR-00153,OBL-000254,ORG-0014,medium,train
QA-000020,Which evidence is rejected for ORG-0015?,"Intent: show_evidence_status. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",show_evidence_status,CIR-00115,OBL-000717,ORG-0015,medium,train
QA-000021,What is the main point of CIR-00036?,"Intent: summarize_circular. NiyamGuard should retrieve linked regulatory text, obligation mappings, evidence, and risk labels; then provide a concise compliance answer with citations to internal records.",summarize_circular,CIR-00036,OBL-000401,ORG-0005,hard,train
