obligation_id,circular_id,regulator_code,sector,category,obligation_type,obligation_text,accountable_actor,action_required,frequency,evidence_required,due_days_from_effective_date,penalty_risk,risk_weight,expected_control,created_by_extractor,extractor_confidence
OBL-000001,CIR-00001,NPCI,Banking,Capital Adequacy,Retain,Policy Owner must update the internal policy and maintain approval evidence for Capital Adequacy under NPCI circular CIR-00001 on a weekly basis.,Policy Owner,update the internal policy and maintain approval evidence,Weekly,Data retention proof,60,Medium,44,Exception workflow,llm_extractor_v1,0.789
OBL-000002,CIR-00001,NPCI,Banking,Capital Adequacy,Monitor,Auditor must notify stakeholders when material incidents occur for Capital Adequacy under NPCI circular CIR-00001 on a event-based basis.,Auditor,notify stakeholders when material incidents occur,Event-based,Access review,60,Medium,49,Independent audit sample,llm_extractor_v1,0.682
OBL-000003,CIR-00002,IRDAI,Capital Markets,Trading Risk,Validate,Risk Manager must notify stakeholders when material incidents occur for Trading Risk under IRDAI circular CIR-00002 on a quarterly basis.,Risk Manager,notify stakeholders when material incidents occur,Quarterly,Access review,30,Low,25,Dashboard alert,llm_extractor_v1,0.756
OBL-000004,CIR-00002,IRDAI,Capital Markets,Trading Risk,Approve,ML Reviewer must monitor threshold breaches and escalate unresolved cases for Trading Risk under IRDAI circular CIR-00002 on a monthly basis.,ML Reviewer,monitor threshold breaches and escalate unresolved cases,Monthly,Policy document,120,High,74,Independent audit sample,llm_extractor_v1,0.877
OBL-000005,CIR-00002,IRDAI,Capital Markets,Trading Risk,Report,Legal Reviewer must validate system calculations against approved methodology for Trading Risk under IRDAI circular CIR-00002 on a event-based basis.,Legal Reviewer,validate system calculations against approved methodology,Event-based,Access review,90,Medium,40,Risk committee sign-off,llm_extractor_v1,0.887
OBL-000006,CIR-00002,IRDAI,Capital Markets,Trading Risk,Validate,Operations Lead must retain supporting records for audit and supervisory review for Trading Risk under IRDAI circular CIR-00002 on a event-based basis.,Operations Lead,retain supporting records for audit and supervisory review,Event-based,Data retention proof,120,High,75,Monthly review checklist,rule_engine_v1,0.817
OBL-000007,CIR-00003,SEBI,NBFC,Audit & Reporting,Validate,Operations Lead must perform periodic control testing and document exceptions for Audit & Reporting under SEBI circular CIR-00003 on a weekly basis.,Operations Lead,perform periodic control testing and document exceptions,Weekly,Data retention proof,15,Medium,44,Independent audit sample,llm_extractor_v1,0.776
OBL-000008,CIR-00003,SEBI,NBFC,Audit & Reporting,Approve,Risk Manager must notify stakeholders when material incidents occur for Audit & Reporting under SEBI circular CIR-00003 on a quarterly basis.,Risk Manager,notify stakeholders when material incidents occur,Quarterly,Vendor attestation,90,Low,24,Automated reconciliation,llm_extractor_v1,0.736
OBL-000009,CIR-00003,SEBI,NBFC,Audit & Reporting,Maintain,Legal Reviewer must validate system calculations against approved methodology for Audit & Reporting under SEBI circular CIR-00003 on a annual basis.,Legal Reviewer,validate system calculations against approved methodology,Annual,Audit sample,120,Low,17,Monthly review checklist,llm_extractor_v1,0.779
OBL-000010,CIR-00003,SEBI,NBFC,Audit & Reporting,Notify,Operations Lead must submit a compliance confirmation report to management for Audit & Reporting under SEBI circular CIR-00003 on a event-based basis.,Operations Lead,submit a compliance confirmation report to management,Event-based,Policy document,45,High,70,Monthly review checklist,llm_extractor_v1,0.697
OBL-000011,CIR-00004,FIU-IND,Banking,Capital Adequacy,Approve,Admin must submit a compliance confirmation report to management for Capital Adequacy under FIU-IND circular CIR-00004 on a monthly basis.,Admin,submit a compliance confirmation report to management,Monthly,Policy document,120,Medium,41,Monthly review checklist,llm_extractor_v1,0.864
OBL-000012,CIR-00004,FIU-IND,Banking,Capital Adequacy,Disclose,Security Officer must update the internal policy and maintain approval evidence for Capital Adequacy under FIU-IND circular CIR-00004 on a annual basis.,Security Officer,update the internal policy and maintain approval evidence,Annual,Vendor attestation,15,Low,20,Maker-checker approval,llm_extractor_v1,0.899
OBL-000013,CIR-00004,FIU-IND,Banking,Capital Adequacy,Validate,Compliance Officer must monitor threshold breaches and escalate unresolved cases for Capital Adequacy under FIU-IND circular CIR-00004 on a monthly basis.,Compliance Officer,monitor threshold breaches and escalate unresolved cases,Monthly,Board minutes,30,Medium,44,Monthly review checklist,rule_engine_v1,0.826
OBL-000014,CIR-00004,FIU-IND,Banking,Capital Adequacy,Approve,Compliance Officer must retain supporting records for audit and supervisory review for Capital Adequacy under FIU-IND circular CIR-00004 on a weekly basis.,Compliance Officer,retain supporting records for audit and supervisory review,Weekly,System report,45,Critical,93,Dashboard alert,llm_extractor_v1,0.879
OBL-000015,CIR-00004,FIU-IND,Banking,Capital Adequacy,Review,Operations Lead must monitor threshold breaches and escalate unresolved cases for Capital Adequacy under FIU-IND circular CIR-00004 on a half-yearly basis.,Operations Lead,monitor threshold breaches and escalate unresolved cases,Half-yearly,Vendor attestation,120,Low,21,Maker-checker approval,rule_engine_v1,0.891
OBL-000016,CIR-00005,SEBI,Insurance,Cybersecurity,Implement,ML Reviewer must submit a compliance confirmation report to management for Cybersecurity under SEBI circular CIR-00005 on a one-time basis.,ML Reviewer,submit a compliance confirmation report to management,One-time,Transaction report,90,Low,25,Maker-checker approval,llm_extractor_v1,0.866
OBL-000017,CIR-00005,SEBI,Insurance,Cybersecurity,Validate,Compliance Officer must perform periodic control testing and document exceptions for Cybersecurity under SEBI circular CIR-00005 on a one-time basis.,Compliance Officer,perform periodic control testing and document exceptions,One-time,Transaction report,7,High,65,Automated reconciliation,llm_extractor_v1,0.79
OBL-000018,CIR-00005,SEBI,Insurance,Cybersecurity,Validate,Policy Owner must monitor threshold breaches and escalate unresolved cases for Cybersecurity under SEBI circular CIR-00005 on a quarterly basis.,Policy Owner,monitor threshold breaches and escalate unresolved cases,Quarterly,Vendor attestation,90,High,65,Exception workflow,llm_extractor_v1,0.709
OBL-000019,CIR-00006,SEBI,Brokerage,Audit & Reporting,Notify,Risk Manager must perform periodic control testing and document exceptions for Audit & Reporting under SEBI circular CIR-00006 on a weekly basis.,Risk Manager,perform periodic control testing and document exceptions,Weekly,Risk assessment,120,Medium,41,Data quality validation,rule_engine_v1,0.738
