drift_id,org_id,previous_policy_id,new_circular_id,drift_type,old_requirement,new_requirement,drift_score,impacted_departments,recommended_action,ground_truth_label,created_at
DRF-000001,ORG-0021,POL-000208,CIR-00004,New Control Required,periodic audit,continuous monitoring dashboard,67,"Trading Desk,IT,Finance","Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",Minor Drift,2025-06-20T09:54:00
DRF-000002,ORG-0014,POL-000140,CIR-00065,Reporting Frequency Changed,board noting,board approval with action tracker,49,Data Governance,"Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Minor Drift,2025-07-13T12:59:00
DRF-000003,ORG-0009,POL-000092,CIR-00087,Timeline Tightened,basic due diligence,enhanced due diligence for high-risk customers,85,Operations,"Revise policy from basic due diligence to enhanced due diligence for high-risk customers, update controls, and collect new evidence.",Material Drift,2026-01-03T10:33:00
DRF-000004,ORG-0021,POL-000212,CIR-00143,Threshold Changed,manual evidence upload,system-generated evidence hash,30,Trading Desk,"Revise policy from manual evidence upload to system-generated evidence hash, update controls, and collect new evidence.",No Action Required,2026-02-23T09:37:00
DRF-000005,ORG-0029,POL-000297,CIR-00176,Retention Period Changed,annual review,quarterly review,48,Trading Desk,"Revise policy from annual review to quarterly review, update controls, and collect new evidence.",Minor Drift,2025-05-27T12:24:00
DRF-000006,ORG-0008,POL-000078,CIR-00088,Scope Expanded,board noting,board approval with action tracker,88,"Finance,IT","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2026-05-18T14:13:00
DRF-000007,ORG-0025,POL-000259,CIR-00183,Scope Expanded,periodic audit,continuous monitoring dashboard,26,Legal,"Revise policy from periodic audit to continuous monitoring dashboard, update controls, and collect new evidence.",No Action Required,2025-07-06T16:14:00
DRF-000008,ORG-0025,POL-000251,CIR-00193,Retention Period Changed,informal escalation,formal incident notification within 24 hours,27,"Audit,Security","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",No Action Required,2025-07-26T10:30:00
DRF-000009,ORG-0023,POL-000229,CIR-00008,Threshold Changed,informal escalation,formal incident notification within 24 hours,65,"IT,Data Governance","Revise policy from informal escalation to formal incident notification within 24 hours, update controls, and collect new evidence.",Minor Drift,2026-02-04T10:16:00
DRF-000010,ORG-0012,POL-000116,CIR-00043,Approval Level Increased,sample testing,complete population testing for high-risk items,35,IT,"Revise policy from sample testing to complete population testing for high-risk items, update controls, and collect new evidence.",No Action Required,2025-05-15T16:22:00
DRF-000011,ORG-0021,POL-000208,CIR-00185,New Control Required,annual review,quarterly review,31,"Operations,IT","Revise policy from annual review to quarterly review, update controls, and collect new evidence.",No Action Required,2025-12-18T19:11:00
DRF-000012,ORG-0016,POL-000162,CIR-00125,Timeline Tightened,board noting,board approval with action tracker,95,"Security,Audit,Trading Desk","Revise policy from board noting to board approval with action tracker, update controls, and collect new evidence.",Material Drift,2025-05-11T16:55:00
