mapping_id,org_id,policy_id,obligation_id,coverage_status,coverage_score,matched_policy_clause,gap_summary,ai_confidence,review_status,reviewed_by,reviewed_at
MAP-0000001,ORG-0001,POL-000009,OBL-000567,Fully Covered,91,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.837,Accepted,USR-00087,2025-01-22T18:51:00
MAP-0000002,ORG-0001,POL-000008,OBL-000671,Fully Covered,94,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.785,Accepted,USR-00146,2025-11-01T16:21:00
MAP-0000003,ORG-0001,POL-000003,OBL-000634,Fully Covered,84,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.706,Rejected,USR-00141,2025-08-25T08:04:00
MAP-0000004,ORG-0001,POL-000004,OBL-000633,Not Covered,16,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.935,Accepted,USR-00141,2026-03-08T12:32:00
MAP-0000005,ORG-0001,POL-000010,OBL-000660,Fully Covered,90,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.637,Accepted,USR-00126,2026-03-20T09:30:00
MAP-0000006,ORG-0001,POL-000007,OBL-000596,Fully Covered,85,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.668,Accepted,USR-00014,2024-08-30T09:17:00
MAP-0000007,ORG-0001,POL-000002,OBL-000118,Partially Covered,62,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.663,Accepted,USR-00109,2025-02-13T08:57:00
MAP-0000008,ORG-0001,POL-000011,OBL-000488,Partially Covered,45,"Policy clause mentions outsourcing control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.658,Rejected,USR-00071,2025-05-06T14:15:00
MAP-0000009,ORG-0001,POL-000004,OBL-000300,Fully Covered,90,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.935,Accepted,USR-00061,2024-12-21T08:35:00
MAP-0000010,ORG-0001,POL-000010,OBL-000104,Fully Covered,89,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.678,Rejected,USR-00099,2025-02-12T16:39:00
MAP-0000011,ORG-0001,POL-000001,OBL-000672,Needs Human Review,25,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.814,Pending Review,USR-00070,2025-11-28T09:06:00
MAP-0000012,ORG-0001,POL-000004,OBL-000530,Not Covered,14,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.702,Pending Review,USR-00045,2025-03-01T12:06:00
MAP-0000013,ORG-0001,POL-000001,OBL-000704,Fully Covered,91,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.768,Pending Review,USR-00099,2025-10-18T11:14:00
MAP-0000014,ORG-0001,POL-000002,OBL-000564,Not Covered,26,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.862,Accepted,USR-00099,2026-04-09T20:24:00
MAP-0000015,ORG-0001,POL-000001,OBL-000548,Partially Covered,62,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.69,Pending Review,USR-00112,2026-01-06T13:20:00
MAP-0000016,ORG-0001,POL-000001,OBL-000635,Fully Covered,94,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.905,Pending Review,USR-00096,2024-12-13T19:04:00
MAP-0000017,ORG-0001,POL-000010,OBL-000644,Not Covered,43,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.748,Pending Review,USR-00054,2025-02-27T13:22:00
MAP-0000018,ORG-0001,POL-000007,OBL-000050,Fully Covered,91,"Policy clause mentions cybersecurity control ownership, review cadence, and evidence retention.",No major gap identified.,0.925,Accepted,USR-00121,2024-08-12T18:59:00
MAP-0000019,ORG-0001,POL-000010,OBL-000220,Fully Covered,84,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.774,Pending Review,USR-00100,2026-02-24T13:23:00
MAP-0000020,ORG-0001,POL-000007,OBL-000691,Fully Covered,95,"Policy clause mentions kyc/aml control ownership, review cadence, and evidence retention.",No major gap identified.,0.866,Rejected,USR-00023,2025-10-09T12:22:00
MAP-0000021,ORG-0001,POL-000004,OBL-000266,Fully Covered,90,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.783,Accepted,USR-00150,2026-05-10T16:38:00
MAP-0000022,ORG-0001,POL-000009,OBL-000714,Not Covered,2,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.953,Accepted,USR-00059,2024-10-19T19:58:00
MAP-0000023,ORG-0001,POL-000003,OBL-000268,Fully Covered,83,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.705,Accepted,USR-00066,2025-10-25T10:18:00
MAP-0000024,ORG-0001,POL-000003,OBL-000715,Not Covered,17,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.916,Accepted,USR-00105,2025-06-03T10:33:00
MAP-0000025,ORG-0001,POL-000002,OBL-000547,Fully Covered,84,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.831,Accepted,USR-00046,2025-05-10T16:30:00
MAP-0000026,ORG-0001,POL-000007,OBL-000191,Not Covered,15,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for retain supporting records for audit and supervisory review and evidence requirements.,0.626,Rejected,USR-00020,2024-09-25T20:06:00
MAP-0000027,ORG-0001,POL-000005,OBL-000283,Not Covered,11,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.802,Pending Review,USR-00142,2025-07-31T19:11:00
MAP-0000028,ORG-0001,POL-000003,OBL-000298,Partially Covered,56,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.704,Accepted,USR-00044,2025-04-23T16:52:00
MAP-0000029,ORG-0001,POL-000001,OBL-000218,Partially Covered,48,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.754,Accepted,USR-00121,2024-12-25T10:15:00
MAP-0000030,ORG-0001,POL-000010,OBL-000595,Not Covered,36,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.886,Accepted,USR-00117,2025-01-14T19:07:00
MAP-0000031,ORG-0001,POL-000012,OBL-000125,Fully Covered,83,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.643,Accepted,USR-00001,2025-05-09T15:33:00
MAP-0000032,ORG-0001,POL-000008,OBL-000301,Partially Covered,70,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.807,Pending Review,USR-00135,2025-11-08T18:33:00
MAP-0000033,ORG-0001,POL-000006,OBL-000282,Partially Covered,81,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.864,Pending Review,USR-00065,2026-01-06T14:10:00
MAP-0000034,ORG-0001,POL-000009,OBL-000597,Not Covered,8,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",Policy needs clearer wording for update the internal policy and maintain approval evidence and evidence requirements.,0.894,Accepted,USR-00095,2025-05-20T09:38:00
MAP-0000035,ORG-0001,POL-000007,OBL-000299,Fully Covered,91,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.747,Accepted,USR-00051,2024-08-04T11:27:00
MAP-0000036,ORG-0001,POL-000011,OBL-000680,Partially Covered,73,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.914,Pending Review,USR-00036,2026-05-14T20:19:00
MAP-0000037,ORG-0001,POL-000007,OBL-000422,Fully Covered,82,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.926,Rejected,USR-00065,2025-11-29T14:29:00
MAP-0000038,ORG-0001,POL-000012,OBL-000267,Fully Covered,88,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.778,Accepted,USR-00014,2025-03-27T10:57:00
MAP-0000039,ORG-0001,POL-000011,OBL-000265,Needs Human Review,38,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",Policy needs clearer wording for submit a compliance confirmation report to management and evidence requirements.,0.747,Accepted,USR-00099,2026-05-19T14:04:00
MAP-0000040,ORG-0001,POL-000010,OBL-000452,Fully Covered,98,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.808,Accepted,USR-00123,2024-09-26T13:21:00
MAP-0000041,ORG-0001,POL-000004,OBL-000724,Fully Covered,98,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.676,Rejected,USR-00038,2026-02-14T12:03:00
MAP-0000042,ORG-0001,POL-000001,OBL-000712,Partially Covered,78,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.746,Accepted,USR-00086,2026-04-07T15:22:00
MAP-0000043,ORG-0001,POL-000010,OBL-000401,Fully Covered,93,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.637,Accepted,USR-00032,2025-10-10T20:31:00
MAP-0000044,ORG-0001,POL-000007,OBL-000399,Partially Covered,47,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.847,Accepted,USR-00145,2025-12-19T09:09:00
MAP-0000045,ORG-0001,POL-000007,OBL-000713,Fully Covered,96,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.869,Pending Review,USR-00037,2024-12-11T20:58:00
MAP-0000046,ORG-0001,POL-000004,OBL-000119,Fully Covered,94,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.714,Accepted,USR-00012,2025-05-25T08:08:00
MAP-0000047,ORG-0001,POL-000004,OBL-000105,Fully Covered,88,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.762,Pending Review,USR-00039,2025-09-29T16:36:00
MAP-0000048,ORG-0001,POL-000005,OBL-000682,Needs Human Review,33,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.62,Accepted,USR-00010,2025-04-16T19:30:00
MAP-0000049,ORG-0001,POL-000002,OBL-000485,Fully Covered,87,"Policy clause mentions outsourcing control ownership, review cadence, and evidence retention.",No major gap identified.,0.934,Accepted,USR-00021,2026-06-04T15:51:00
MAP-0000050,ORG-0001,POL-000006,OBL-000124,Partially Covered,68,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for monitor threshold breaches and escalate unresolved cases and evidence requirements.,0.909,Rejected,USR-00067,2026-03-01T16:35:00
MAP-0000051,ORG-0001,POL-000012,OBL-000302,Fully Covered,92,"Policy clause mentions operational resilience control ownership, review cadence, and evidence retention.",No major gap identified.,0.799,Pending Review,USR-00134,2026-06-17T12:51:00
MAP-0000052,ORG-0001,POL-000010,OBL-000659,Partially Covered,60,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for perform periodic control testing and document exceptions and evidence requirements.,0.697,Accepted,USR-00124,2025-04-23T13:32:00
MAP-0000053,ORG-0001,POL-000005,OBL-000549,Fully Covered,94,"Policy clause mentions incident management control ownership, review cadence, and evidence retention.",No major gap identified.,0.637,Accepted,USR-00066,2024-11-05T10:35:00
MAP-0000054,ORG-0001,POL-000004,OBL-000121,Not Covered,14,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for notify stakeholders when material incidents occur and evidence requirements.,0.919,Accepted,USR-00040,2024-10-27T19:34:00
MAP-0000055,ORG-0001,POL-000009,OBL-000106,Fully Covered,94,"Policy clause mentions disclosure control ownership, review cadence, and evidence retention.",No major gap identified.,0.763,Accepted,USR-00021,2025-03-24T10:39:00
MAP-0000056,ORG-0001,POL-000008,OBL-000643,Needs Human Review,62,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.643,Accepted,USR-00015,2025-10-08T14:52:00
MAP-0000057,ORG-0001,POL-000007,OBL-000280,Fully Covered,97,"Policy clause mentions liquidity risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.953,Accepted,USR-00095,2024-11-17T12:15:00
MAP-0000058,ORG-0002,POL-000013,OBL-000448,Needs Human Review,25,"Policy clause mentions capital adequacy control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.956,Pending Review,USR-00050,2025-01-09T14:52:00
MAP-0000059,ORG-0002,POL-000020,OBL-000386,Fully Covered,91,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",No major gap identified.,0.829,Accepted,USR-00073,2024-12-07T09:29:00
MAP-0000060,ORG-0002,POL-000017,OBL-000541,Fully Covered,98,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.653,Pending Review,USR-00073,2024-08-20T14:54:00
MAP-0000061,ORG-0002,POL-000018,OBL-000207,Partially Covered,75,"Policy clause mentions customer protection control ownership, review cadence, and evidence retention.",Policy needs clearer wording for validate system calculations against approved methodology and evidence requirements.,0.895,Accepted,USR-00131,2025-05-28T12:41:00
MAP-0000062,ORG-0002,POL-000019,OBL-000402,Fully Covered,89,"Policy clause mentions trading risk control ownership, review cadence, and evidence retention.",No major gap identified.,0.89,Pending Review,USR-00084,2025-02-19T11:29:00
MAP-0000063,ORG-0002,POL-000015,OBL-000419,Partially Covered,47,"Policy clause mentions audit & reporting control ownership, review cadence, and evidence retention.",Policy needs clearer wording for review customer or transaction risk indicators and evidence requirements.,0.647,Accepted,USR-00031,2024-12-17T09:28:00
MAP-0000064,ORG-0002,POL-000015,OBL-000229,Fully Covered,84,"Policy clause mentions data privacy control ownership, review cadence, and evidence retention.",No major gap identified.,0.716,Accepted,USR-00082,2026-03-04T11:45:00
