evidence_id,org_id,obligation_id,control_id,evidence_type,evidence_title,evidence_date,submitted_by,status,reviewer_comments,storage_uri,evidence_score,hash
EVD-0000001,ORG-0025,OBL-000653,CTL-001101,Access review,Liquidity Risk evidence package 1,2026-06-21,USR-00026,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0025/1,0,6fcab3afcda0013386e24ea5f66cdb36
EVD-0000002,ORG-0025,OBL-000653,CTL-001101,Access review,Liquidity Risk evidence package 2,2025-10-12,USR-00132,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0025/2,25,1957ce33d0cf67940923d3d70e562869
EVD-0000003,ORG-0025,OBL-000653,CTL-001101,Access review,Liquidity Risk evidence package 3,2026-01-26,USR-00060,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0025/3,0,c17f6648ce1d987d75159b56283167bd
EVD-0000004,ORG-0010,OBL-000664,CTL-001419,Data retention proof,Data Privacy evidence package 4,2025-04-14,USR-00064,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0010/4,95,bb7fd70d38d6c2b4140b6cf528ad0500
EVD-0000005,ORG-0010,OBL-000664,CTL-001419,Data retention proof,Data Privacy evidence package 5,2025-08-19,USR-00058,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0010/5,70,ec310a7ebc5cd977a30791924e93e24e
EVD-0000006,ORG-0004,OBL-000186,CTL-000032,Risk assessment,Trading Risk evidence package 6,2025-11-18,USR-00091,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0004/6,55,f661f2690677c5f5439360056a29403f
EVD-0000007,ORG-0004,OBL-000186,CTL-000032,Risk assessment,Trading Risk evidence package 7,2025-10-04,USR-00091,Needs Clarification,Evidence requires follow-up because status is needs clarification.,synthetic://niyamguard/evidence/ORG-0004/7,66,5c3138e127b3493555699685797da603
EVD-0000008,ORG-0025,OBL-000236,CTL-000573,Vendor attestation,Customer Protection evidence package 8,2025-09-12,USR-00072,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0025/8,84,f114154312c7d933b6592d7d5b28d5fd
EVD-0000009,ORG-0025,OBL-000236,CTL-000573,Vendor attestation,Customer Protection evidence package 9,2025-02-14,USR-00144,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0025/9,80,5067a91aac34b0983be55d19d3142e07
EVD-0000010,ORG-0025,OBL-000236,CTL-000573,Vendor attestation,Customer Protection evidence package 10,2025-10-29,USR-00144,Rejected,Evidence requires follow-up because status is rejected.,synthetic://niyamguard/evidence/ORG-0025/10,23,460af19c2f25684d3c3d908b19c7f2b0
EVD-0000011,ORG-0018,OBL-000025,CTL-000195,Vendor attestation,Capital Adequacy evidence package 11,2024-11-08,USR-00007,Accepted,Evidence is sufficient and traceable.,synthetic://niyamguard/evidence/ORG-0018/11,96,494a512f2879e2e29ea073c36a1b3c19
EVD-0000012,ORG-0018,OBL-000025,CTL-000195,Vendor attestation,Capital Adequacy evidence package 12,2025-06-08,USR-00137,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0018/12,0,bd978c24a3576de841adb91f8c7934fb
EVD-0000013,ORG-0018,OBL-000025,CTL-000195,Vendor attestation,Capital Adequacy evidence package 13,2025-08-01,USR-00089,Missing,Evidence requires follow-up because status is missing.,synthetic://niyamguard/evidence/ORG-0018/13,0,60d72d4919407b8e30f9b21f83e24103
