example_id,utterance,intent_label,entities_json,split
INT-000001,Is our policy covering obligation OBL-000457?,check_policy_gap,"{""category"": ""Incident Management"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0001"", ""obligation_id"": ""OBL-000457""}",validation
INT-000002,List recent LLM review events,show_audit_trail,"{""category"": ""KYC/AML"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0003"", ""obligation_id"": ""OBL-000167""}",train
INT-000003,Export risk report for this month,generate_report,"{""category"": ""KYC/AML"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0005"", ""obligation_id"": ""OBL-000420""}",train
INT-000004,Show obligations due in 30 days,deadline_query,"{""category"": ""Cybersecurity"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000617""}",test
INT-000005,What obligations are in circular CIR-00097?,extract_obligations,"{""category"": ""KYC/AML"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000523""}",train
INT-000006,Assign this finding to Finance,assign_owner,"{""category"": ""Disclosure"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0017"", ""obligation_id"": ""OBL-000325""}",train
INT-000007,How do I fix Outsourcing gaps?,create_remediation_plan,"{""category"": ""Capital Adequacy"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0022"", ""obligation_id"": ""OBL-000368""}",validation
INT-000008,Who approved this mapping?,show_audit_trail,"{""category"": ""Incident Management"", ""regulator"": ""SEBI"", ""org_id"": ""ORG-0021"", ""obligation_id"": ""OBL-000049""}",validation
INT-000009,Extract action items from CIR-00120,extract_obligations,"{""category"": ""Incident Management"", ""regulator"": ""FIU-IND"", ""org_id"": ""ORG-0023"", ""obligation_id"": ""OBL-000631""}",train
INT-000010,Do we have proof for obligation OBL-000378?,show_evidence_status,"{""category"": ""Cybersecurity"", ""regulator"": ""IRDAI"", ""org_id"": ""ORG-0006"", ""obligation_id"": ""OBL-000378""}",train
INT-000011,Export risk report for this month,generate_report,"{""category"": ""Disclosure"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0011"", ""obligation_id"": ""OBL-000144""}",validation
INT-000012,Show obligations due in 30 days,deadline_query,"{""category"": ""Liquidity Risk"", ""regulator"": ""NPCI"", ""org_id"": ""ORG-0020"", ""obligation_id"": ""OBL-000456""}",train
