risk_id,org_id,risk_score,risk_band,avg_policy_coverage_score,open_findings_count,bad_evidence_count,top_risk_factors,generated_at,label_source
RSK-00001,ORG-0001,79,High,67.02,24,34,coverage=67.0; open_findings=24; weak_evidence=34,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00002,ORG-0002,52,Medium,69.52,12,32,coverage=69.5; open_findings=12; weak_evidence=32,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00003,ORG-0003,74,High,69.22,19,42,coverage=69.2; open_findings=19; weak_evidence=42,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00004,ORG-0004,57,Medium,70.39,12,25,coverage=70.4; open_findings=12; weak_evidence=25,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00005,ORG-0005,76,High,63.7,22,40,coverage=63.7; open_findings=22; weak_evidence=40,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00006,ORG-0006,55,Medium,72.25,9,31,coverage=72.3; open_findings=9; weak_evidence=31,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00007,ORG-0007,67,High,68.27,23,34,coverage=68.3; open_findings=23; weak_evidence=34,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00008,ORG-0008,68,High,65.68,16,29,coverage=65.7; open_findings=16; weak_evidence=29,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00009,ORG-0009,50,Medium,68.44,9,15,coverage=68.4; open_findings=9; weak_evidence=15,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00010,ORG-0010,50,Medium,75.11,10,23,coverage=75.1; open_findings=10; weak_evidence=23,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00011,ORG-0011,56,Medium,67.95,11,18,coverage=67.9; open_findings=11; weak_evidence=18,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00012,ORG-0012,43,Medium,72.36,7,24,coverage=72.4; open_findings=7; weak_evidence=24,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00013,ORG-0013,52,Medium,72.31,13,29,coverage=72.3; open_findings=13; weak_evidence=29,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00014,ORG-0014,60,High,73.63,15,45,coverage=73.6; open_findings=15; weak_evidence=45,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00015,ORG-0015,52,Medium,73.34,16,29,coverage=73.3; open_findings=16; weak_evidence=29,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00016,ORG-0016,61,High,72.14,13,36,coverage=72.1; open_findings=13; weak_evidence=36,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00017,ORG-0017,64,High,72.22,14,38,coverage=72.2; open_findings=14; weak_evidence=38,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00018,ORG-0018,52,Medium,71.42,15,24,coverage=71.4; open_findings=15; weak_evidence=24,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00019,ORG-0019,48,Medium,69.72,10,21,coverage=69.7; open_findings=10; weak_evidence=21,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00020,ORG-0020,60,High,66.23,12,24,coverage=66.2; open_findings=12; weak_evidence=24,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00021,ORG-0021,50,Medium,74.56,8,27,coverage=74.6; open_findings=8; weak_evidence=27,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00022,ORG-0022,67,High,64.27,14,28,coverage=64.3; open_findings=14; weak_evidence=28,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00023,ORG-0023,43,Medium,74.83,13,17,coverage=74.8; open_findings=13; weak_evidence=17,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00024,ORG-0024,53,Medium,77.52,14,22,coverage=77.5; open_findings=14; weak_evidence=22,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00025,ORG-0025,56,Medium,73.22,12,26,coverage=73.2; open_findings=12; weak_evidence=26,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00026,ORG-0026,65,High,64.9,14,25,coverage=64.9; open_findings=14; weak_evidence=25,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00027,ORG-0027,66,High,66.07,14,31,coverage=66.1; open_findings=14; weak_evidence=31,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00028,ORG-0028,52,Medium,74.07,13,24,coverage=74.1; open_findings=13; weak_evidence=24,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00029,ORG-0029,56,Medium,64.88,15,20,coverage=64.9; open_findings=15; weak_evidence=20,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
RSK-00030,ORG-0030,45,Medium,73.38,12,19,coverage=73.4; open_findings=12; weak_evidence=19,2026-07-19T08:00:00,synthetic_rule_based_ground_truth
