control_id,org_id,control_name,control_description,control_owner_team,control_owner_role,control_frequency,automation_level,linked_policy_id,linked_obligation_id,control_effectiveness_score,last_tested_at,test_result
CTL-000001,ORG-0017,Cybersecurity Reconciliation Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Access review.,Risk,Legal Reviewer,Event-based,Manual,POL-000170,OBL-000232,79,2026-05-19,Pass
CTL-000002,ORG-0008,Audit & Reporting Approval Control,Control validates that retain supporting records for audit and supervisory review is performed and evidence is retained for Board minutes.,Trading Desk,ML Reviewer,Quarterly,Semi-automated,POL-000075,OBL-000117,62,2025-10-10,Pass with Exceptions
CTL-000003,ORG-0011,Data Privacy Review Control,Control validates that perform periodic control testing and document exceptions is performed and evidence is retained for Training log.,Legal,Risk Manager,Annual,Automated,POL-000110,OBL-000631,62,2026-04-12,Pass with Exceptions
CTL-000004,ORG-0006,Data Privacy Approval Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Data retention proof.,IT,Policy Owner,Quarterly,Semi-automated,POL-000054,OBL-000664,52,2025-09-10,Pass with Exceptions
CTL-000005,ORG-0030,Capital Adequacy Attestation Control,Control validates that review customer or transaction risk indicators is performed and evidence is retained for Training log.,Compliance,Compliance Officer,Daily,Semi-automated,POL-000306,OBL-000126,18,2026-01-24,Fail
CTL-000006,ORG-0026,Cybersecurity Approval Control,Control validates that submit a compliance confirmation report to management is performed and evidence is retained for Transaction report.,Security,Policy Owner,Monthly,Semi-automated,POL-000268,OBL-000536,96,2024-11-26,Pass
CTL-000007,ORG-0007,Capital Adequacy Attestation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Risk assessment.,Data Governance,Security Officer,Daily,Semi-automated,POL-000068,OBL-000449,100,2026-01-27,Pass
CTL-000008,ORG-0014,Customer Protection Reconciliation Control,Control validates that validate system calculations against approved methodology is performed and evidence is retained for Audit sample.,Legal,Compliance Officer,Quarterly,Semi-automated,POL-000141,OBL-000338,63,2024-12-09,Pass with Exceptions
CTL-000009,ORG-0007,Outsourcing Escalation Control,Control validates that monitor threshold breaches and escalate unresolved cases is performed and evidence is retained for Training log.,Trading Desk,Admin,Monthly,Automated,POL-000070,OBL-000456,65,2025-04-17,Pass with Exceptions
CTL-000010,ORG-0005,Cybersecurity Monitoring Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Vendor attestation.,Legal,Risk Manager,Daily,Automated,POL-000044,OBL-000378,18,2024-12-01,Fail
CTL-000011,ORG-0029,Data Privacy Attestation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for System report.,Risk,Operations Lead,One-time,Semi-automated,POL-000292,OBL-000663,80,2025-12-25,Pass
CTL-000012,ORG-0026,KYC/AML Attestation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Transaction report.,Security,Admin,One-time,Semi-automated,POL-000265,OBL-000136,81,2026-05-02,Pass
CTL-000013,ORG-0016,Capital Adequacy Attestation Control,Control validates that update the internal policy and maintain approval evidence is performed and evidence is retained for Data retention proof.,Operations,ML Reviewer,Weekly,Semi-automated,POL-000160,OBL-000001,74,2025-04-08,Pass with Exceptions
