finding_id,org_id,obligation_id,policy_id,severity,finding_type,finding_summary,recommended_fix,owner_team,status,target_date,created_at,ground_truth_compliance_label
FND-000001,ORG-0021,OBL-000596,POL-000207,High,Control Operating Gap,Control Operating Gap: Liquidity Risk obligation is partially covered with coverage score 66.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Operations,Open,2026-08-07,2026-06-07T08:04:00,Partially Compliant
FND-000002,ORG-0010,OBL-000310,POL-000093,Medium,Control Operating Gap,Control Operating Gap: Capital Adequacy obligation is partially covered with coverage score 68.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Compliance,Open,2026-08-07,2025-08-15T10:30:00,Partially Compliant
FND-000003,ORG-0002,OBL-000351,POL-000016,Medium,Policy Gap,Policy Gap: KYC/AML obligation is partially covered with coverage score 50.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Compliance,In Progress,2026-06-17,2025-09-26T18:41:00,Partially Compliant
FND-000004,ORG-0028,OBL-000350,POL-000288,Medium,Expired Policy,Expired Policy: Data Privacy obligation is needs human review with coverage score 33.,"Update policy clause, assign owner, and add evidence workflow for: retain supporting records for audit and supervisory review.",Audit,In Progress,2025-12-01,2026-02-11T19:01:00,Non-Compliant
FND-000005,ORG-0025,OBL-000317,POL-000255,Medium,Review Delay,Review Delay: Audit & Reporting obligation is partially covered with coverage score 48.,"Update policy clause, assign owner, and add evidence workflow for: review customer or transaction risk indicators.",Finance,In Progress,2026-06-17,2025-07-09T17:23:00,Partially Compliant
FND-000006,ORG-0001,OBL-000715,POL-000003,Medium,Expired Policy,Expired Policy: Disclosure obligation is not covered with coverage score 17.,"Update policy clause, assign owner, and add evidence workflow for: perform periodic control testing and document exceptions.",Risk,Open,2026-03-06,2026-04-11T17:08:00,Non-Compliant
FND-000007,ORG-0010,OBL-000222,POL-000096,Medium,Control Operating Gap,Control Operating Gap: Cybersecurity obligation is fully covered with coverage score 90.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Data Governance,In Progress,2026-05-05,2025-10-24T13:35:00,Compliant
FND-000008,ORG-0013,OBL-000257,POL-000133,Low,Control Operating Gap,Control Operating Gap: Outsourcing obligation is fully covered with coverage score 97.,"Update policy clause, assign owner, and add evidence workflow for: update the internal policy and maintain approval evidence.",Data Governance,Open,2026-03-12,2026-06-22T14:12:00,Compliant
FND-000009,ORG-0014,OBL-000161,POL-000141,Low,Control Design Gap,Control Design Gap: Audit & Reporting obligation is partially covered with coverage score 81.,"Update policy clause, assign owner, and add evidence workflow for: submit a compliance confirmation report to management.",Audit,Resolved,2026-02-07,2026-03-17T18:37:00,Partially Compliant
FND-000010,ORG-0014,OBL-000675,POL-000137,Medium,Review Delay,Review Delay: Cybersecurity obligation is partially covered with coverage score 75.,"Update policy clause, assign owner, and add evidence workflow for: validate system calculations against approved methodology.",Finance,Open,2026-08-01,2025-12-14T18:25:00,Partially Compliant
