circular_id,regulator_code,sector,title,issue_date,effective_date,due_date,category,severity,jurisdiction,summary,full_text,source_url,status,keywords,version
CIR-00001,NPCI,Banking,NPCI circular on capital adequacy requirements for banking entities,2025-10-24,2025-12-20,2026-02-04,Capital Adequacy,High,India / Synthetic Demo,Synthetic Capital Adequacy requirement for Banking firms to disclose transaction alerts.,"This synthetic circular requires regulated entities in the Banking sector to disclose transaction alerts. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/npci/1,Active,"Banking,Capital Adequacy,High,disclose,transaction",v2.0
CIR-00002,IRDAI,Capital Markets,IRDAI circular on trading risk requirements for capital markets entities,2025-08-19,2025-09-21,2026-01-18,Trading Risk,Medium,India / Synthetic Demo,Synthetic Trading Risk requirement for Capital Markets firms to review liquidity stress testing.,"This synthetic circular requires regulated entities in the Capital Markets sector to review liquidity stress testing. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Trading Risk with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/2,Active,"Capital Markets,Medium,Trading Risk,liquidity,review",v2.0
CIR-00003,SEBI,NBFC,SEBI circular on audit & reporting requirements for nbfc entities,2025-01-20,2025-03-18,2025-05-19,Audit & Reporting,Medium,India / Synthetic Demo,Synthetic Audit & Reporting requirement for NBFC firms to retain transaction alerts.,"This synthetic circular requires regulated entities in the NBFC sector to retain transaction alerts. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Audit & Reporting with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/3,Active,"Audit & Reporting,Medium,NBFC,retain,transaction",v2.0
CIR-00004,FIU-IND,Banking,FIU-IND circular on capital adequacy requirements for banking entities,2024-07-03,2024-08-14,2024-12-09,Capital Adequacy,Medium,India / Synthetic Demo,Synthetic Capital Adequacy requirement for Banking firms to monitor capital calculations.,"This synthetic circular requires regulated entities in the Banking sector to monitor capital calculations. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/fiu-ind/4,Active,"Banking,Capital Adequacy,Medium,capital,monitor",v1.0
CIR-00005,SEBI,Insurance,SEBI circular on cybersecurity requirements for insurance entities,2024-04-13,2024-07-01,2024-12-16,Cybersecurity,High,India / Synthetic Demo,Synthetic Cybersecurity requirement for Insurance firms to retain customer due diligence.,"This synthetic circular requires regulated entities in the Insurance sector to retain customer due diligence. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Cybersecurity with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/5,Active,"Cybersecurity,High,Insurance,customer,retain",v3.0
CIR-00006,SEBI,Brokerage,SEBI circular on audit & reporting requirements for brokerage entities,2024-07-04,2024-08-09,2024-12-29,Audit & Reporting,Low,India / Synthetic Demo,Synthetic Audit & Reporting requirement for Brokerage firms to strengthen outsourced vendor controls.,"This synthetic circular requires regulated entities in the Brokerage sector to strengthen outsourced vendor controls. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Audit & Reporting with Low supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/6,Active,"Audit & Reporting,Brokerage,Low,outsourced,strengthen",v3.0
CIR-00007,SEBI,Insurance,SEBI circular on customer protection requirements for insurance entities,2026-03-13,2026-05-24,2026-08-21,Customer Protection,High,India / Synthetic Demo,Synthetic Customer Protection requirement for Insurance firms to retain capital calculations.,"This synthetic circular requires regulated entities in the Insurance sector to retain capital calculations. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Customer Protection with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/7,Active,"Customer Protection,High,Insurance,capital,retain",v2.0
CIR-00008,SEBI,FinTech,SEBI circular on capital adequacy requirements for fintech entities,2024-10-15,2024-12-17,2025-05-24,Capital Adequacy,Medium,India / Synthetic Demo,Synthetic Capital Adequacy requirement for FinTech firms to retain outsourced vendor controls.,"This synthetic circular requires regulated entities in the FinTech sector to retain outsourced vendor controls. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/sebi/8,Draft,"Capital Adequacy,FinTech,Medium,outsourced,retain",v1.0
CIR-00009,FIU-IND,Insurance,FIU-IND circular on data privacy requirements for insurance entities,2025-05-07,2025-07-08,2025-12-26,Data Privacy,Low,India / Synthetic Demo,Synthetic Data Privacy requirement for Insurance firms to standardize investor disclosures.,"This synthetic circular requires regulated entities in the Insurance sector to standardize investor disclosures. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Data Privacy with Low supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/fiu-ind/9,Superseded,"Data Privacy,Insurance,Low,investor,standardize",v1.0
CIR-00010,IRDAI,Capital Markets,IRDAI circular on cybersecurity requirements for capital markets entities,2025-06-09,2025-07-12,2025-11-30,Cybersecurity,Medium,India / Synthetic Demo,Synthetic Cybersecurity requirement for Capital Markets firms to standardize capital calculations.,"This synthetic circular requires regulated entities in the Capital Markets sector to standardize capital calculations. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Cybersecurity with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/10,Superseded,"Capital Markets,Cybersecurity,Medium,capital,standardize",v2.0
CIR-00011,RBI,Banking,RBI circular on disclosure requirements for banking entities,2025-01-17,2025-03-03,2025-07-09,Disclosure,Medium,India / Synthetic Demo,Synthetic Disclosure requirement for Banking firms to standardize brokerage surveillance.,"This synthetic circular requires regulated entities in the Banking sector to standardize brokerage surveillance. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Disclosure with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/rbi/11,Active,"Banking,Disclosure,Medium,brokerage,standardize",v2.0
CIR-00012,RBI,Mutual Funds,RBI circular on liquidity risk requirements for mutual funds entities,2024-05-20,2024-06-08,2024-09-19,Liquidity Risk,High,India / Synthetic Demo,Synthetic Liquidity Risk requirement for Mutual Funds firms to monitor investor disclosures.,"This synthetic circular requires regulated entities in the Mutual Funds sector to monitor investor disclosures. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Liquidity Risk with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/rbi/12,Superseded,"High,Liquidity Risk,Mutual Funds,investor,monitor",v3.0
CIR-00013,NPCI,Banking,NPCI circular on customer protection requirements for banking entities,2024-01-20,2024-03-07,2024-05-31,Customer Protection,High,India / Synthetic Demo,Synthetic Customer Protection requirement for Banking firms to document data retention.,"This synthetic circular requires regulated entities in the Banking sector to document data retention. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Customer Protection with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/npci/13,Draft,"Banking,Customer Protection,High,data,document",v3.0
CIR-00014,FIU-IND,NBFC,FIU-IND circular on disclosure requirements for nbfc entities,2024-08-31,2024-10-23,2024-12-23,Disclosure,High,India / Synthetic Demo,Synthetic Disclosure requirement for NBFC firms to strengthen capital calculations.,"This synthetic circular requires regulated entities in the NBFC sector to strengthen capital calculations. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Disclosure with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/fiu-ind/14,Active,"Disclosure,High,NBFC,capital,strengthen",v3.0
CIR-00015,NPCI,NBFC,NPCI circular on cybersecurity requirements for nbfc entities,2025-05-26,2025-08-17,2025-09-20,Cybersecurity,High,India / Synthetic Demo,Synthetic Cybersecurity requirement for NBFC firms to retain risk appetite limits.,"This synthetic circular requires regulated entities in the NBFC sector to retain risk appetite limits. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Cybersecurity with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/npci/15,Active,"Cybersecurity,High,NBFC,retain,risk",v1.0
CIR-00016,IRDAI,Banking,IRDAI circular on disclosure requirements for banking entities,2024-09-03,2024-11-30,2025-04-15,Disclosure,High,India / Synthetic Demo,Synthetic Disclosure requirement for Banking firms to document liquidity stress testing.,"This synthetic circular requires regulated entities in the Banking sector to document liquidity stress testing. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Disclosure with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/16,Active,"Banking,Disclosure,High,document,liquidity",v3.0
CIR-00017,IRDAI,Banking,IRDAI circular on cybersecurity requirements for banking entities,2025-04-26,2025-05-16,2025-09-22,Cybersecurity,Medium,India / Synthetic Demo,Synthetic Cybersecurity requirement for Banking firms to disclose UPI dispute handling.,"This synthetic circular requires regulated entities in the Banking sector to disclose UPI dispute handling. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Cybersecurity with Medium supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/irdai/17,Active,"Banking,Cybersecurity,Medium,UPI,disclose",v2.0
CIR-00018,RBI,Payments,RBI circular on capital adequacy requirements for payments entities,2025-10-05,2025-11-02,2026-04-29,Capital Adequacy,High,India / Synthetic Demo,Synthetic Capital Adequacy requirement for Payments firms to disclose board oversight.,"This synthetic circular requires regulated entities in the Payments sector to disclose board oversight. Entities must assign accountable owners, maintain auditable evidence, update internal policies, and submit compliance confirmation within prescribed timelines. The requirement is categorized under Capital Adequacy with High supervisory importance. NiyamGuard uses this text for obligation extraction, drift detection, evidence review, and risk scoring demonstrations.",synthetic://niyamguard/regulatory/rbi/18,Active,"Capital Adequacy,High,Payments,board,disclose",v3.0
